iter	Passed	Remaining
0	10	10828
1	18	9470
2	26	8944
3	34	8662
4	43	8636
5	51	8512
6	59	8483
7	67	8431
8	76	8402
9	84	8350
10	92	8343
11	114	9448
12	123	9393
13	131	9285
14	140	9237
15	149	9211
16	158	9173
17	166	9110
18	175	9054
19	183	8974
20	191	8925
21	200	8930
22	210	8924
23	218	8875
24	231	9018
25	241	9040
26	256	9248
27	264	9177
28	273	9147
29	281	9094
30	290	9073
31	298	9032
32	307	9023
33	316	8982
34	325	8974
35	333	8932
36	343	8928
37	352	8926
38	361	8909
39	370	8900
40	378	8863
41	387	8833
42	395	8791
43	403	8762
44	416	8828
45	442	9170
46	456	9249
47	465	9236
48	480	9331
49	492	9349
50	500	9315
51	508	9270
52	516	9229
53	524	9194
54	534	9175
55	542	9138
56	550	9105
57	558	9074
58	567	9054
59	575	9018
60	583	8986
61	591	8946
62	600	8926
63	609	8908
64	618	8892
65	626	8862
66	635	8844
67	642	8809
68	650	8783
69	659	8764
70	668	8741
71	675	8712
72	683	8683
73	691	8655
74	699	8629
75	707	8606
76	716	8583
77	724	8558
78	732	8537
79	740	8513
80	748	8490
81	756	8471
82	765	8456
83	773	8432
84	781	8412
85	789	8385
86	797	8367
87	805	8346
88	813	8329
89	821	8303
90	829	8283
91	837	8263
92	845	8246
93	853	8221
94	860	8199
95	868	8178
96	876	8156
97	883	8135
98	891	8114
99	899	8095
100	907	8074
101	915	8057
102	923	8038
103	930	8020
104	938	7999
105	946	7980
106	953	7961
107	961	7940
108	976	7978
109	986	7978
110	998	7996
111	1007	7990
112	1017	7985
113	1025	7968
114	1038	7990
115	1048	7987
116	1060	8006
117	1072	8019
118	1087	8054
119	1098	8056
120	1106	8035
121	1114	8017
122	1121	7996
123	1129	7979
124	1137	7959
125	1145	7943
126	1153	7931
127	1161	7915
128	1169	7896
129	1177	7879
130	1185	7862
131	1193	7848
132	1200	7828
133	1209	7814
134	1216	7797
135	1225	7783
136	1232	7765
137	1240	7749
138	1248	7733
139	1256	7719
140	1264	7704
141	1272	7688
142	1279	7670
143	1287	7654
144	1295	7638
145	1303	7626
146	1311	7610
147	1319	7595
148	1327	7583
149	1335	7566
150	1343	7552
151	1350	7536
152	1359	7524
153	1366	7509
154	1375	7496
155	1382	7480
156	1391	7469
157	1398	7453
158	1406	7441
159	1414	7426
160	1422	7412
161	1429	7397
162	1437	7383
163	1445	7370
164	1457	7374
165	1473	7404
166	1484	7405
167	1499	7424
168	1508	7417
169	1519	7419
170	1527	7404
171	1540	7418
172	1550	7414
173	1559	7402
174	1567	7388
175	1576	7380
176	1584	7366
177	1591	7350
178	1599	7334
179	1606	7320
180	1614	7307
181	1622	7293
182	1630	7277
183	1638	7265
184	1648	7260
185	1656	7247
186	1663	7232
187	1671	7220
188	1679	7205
189	1687	7192
190	1694	7177
191	1702	7163
192	1709	7147
193	1717	7137
194	1725	7123
195	1733	7111
196	1741	7098
197	1749	7084
198	1757	7072
199	1764	7059
200	1772	7045
201	1780	7032
202	1787	7018
203	1795	7006
204	1803	6993
205	1811	6982
206	1819	6970
207	1827	6957
208	1835	6945
209	1842	6931
210	1850	6918
211	1857	6905
212	1865	6894
213	1873	6881
214	1881	6869
215	1889	6857
216	1897	6845
217	1904	6832
218	1912	6820
219	1920	6807
220	1928	6797
221	1935	6784
222	1943	6772
223	1951	6759
224	1958	6745
225	1966	6734
226	1973	6721
227	1982	6711
228	1989	6699
229	1997	6688
230	2005	6675
231	2013	6663
232	2020	6651
233	2028	6639
234	2035	6627
235	2044	6617
236	2051	6604
237	2059	6592
238	2066	6580
239	2073	6567
240	2081	6556
241	2089	6543
242	2096	6531
243	2104	6520
244	2111	6508
245	2119	6496
246	2127	6485
247	2134	6473
248	2143	6464
249	2150	6452
250	2158	6441
251	2166	6429
252	2174	6421
253	2182	6409
254	2190	6399
255	2198	6389
256	2206	6379
257	2214	6367
258	2221	6355
259	2229	6345
260	2236	6333
261	2244	6322
262	2251	6310
263	2259	6299
264	2268	6292
265	2280	6293
266	2289	6284
267	2296	6272
268	2304	6262
269	2311	6250
270	2319	6238
271	2327	6229
272	2335	6218
273	2343	6209
274	2350	6198
275	2358	6187
276	2366	6176
277	2375	6168
278	2382	6157
279	2390	6147
280	2398	6136
281	2409	6133
282	2417	6124
283	2425	6115
284	2434	6106
285	2442	6097
286	2449	6086
287	2457	6075
288	2465	6064
289	2473	6054
290	2480	6043
291	2488	6034
292	2496	6023
293	2504	6014
294	2518	6017
295	2537	6036
296	2553	6044
297	2562	6036
298	2572	6031
299	2585	6033
300	2597	6031
301	2608	6028
302	2617	6021
303	2625	6010
304	2634	6002
305	2642	5992
306	2649	5981
307	2657	5970
308	2664	5959
309	2672	5949
310	2680	5938
311	2688	5928
312	2695	5917
313	2703	5907
314	2711	5895
315	2719	5885
316	2726	5874
317	2735	5865
318	2742	5855
319	2750	5845
320	2758	5834
321	2766	5825
322	2774	5814
323	2782	5805
324	2790	5794
325	2797	5784
326	2805	5773
327	2813	5763
328	2820	5753
329	2828	5742
330	2836	5733
331	2844	5722
332	2852	5713
333	2860	5703
334	2868	5694
335	2875	5683
336	2883	5673
337	2892	5664
338	2900	5654
339	2907	5644
340	2915	5634
341	2923	5624
342	2930	5613
343	2938	5602
344	2945	5592
345	2953	5582
346	2961	5572
347	2968	5561
348	2975	5551
349	2983	5541
350	2991	5530
351	2999	5521
352	3006	5510
353	3014	5500
354	3022	5491
355	3030	5481
356	3037	5471
357	3045	5461
358	3053	5451
359	3060	5441
360	3068	5430
361	3076	5421
362	3083	5410
363	3090	5400
364	3098	5390
365	3105	5379
366	3113	5370
367	3121	5360
368	3130	5352
369	3137	5342
370	3145	5333
371	3153	5323
372	3160	5313
373	3168	5303
374	3176	5293
375	3184	5284
376	3192	5275
377	3203	5271
378	3212	5263
379	3219	5253
380	3227	5244
381	3235	5233
382	3243	5224
383	3250	5215
384	3259	5206
385	3267	5196
386	3275	5188
387	3282	5178
388	3290	5168
389	3298	5158
390	3305	5149
391	3313	5139
392	3320	5129
393	3328	5120
394	3336	5109
395	3344	5101
396	3351	5090
397	3359	5082
398	3367	5072
399	3376	5064
400	3383	5054
401	3392	5046
402	3399	5036
403	3407	5027
404	3415	5017
405	3423	5008
406	3430	4998
407	3438	4989
408	3446	4979
409	3454	4970
410	3461	4961
411	3470	4952
412	3477	4943
413	3485	4934
414	3493	4925
415	3504	4919
416	3511	4909
417	3519	4901
418	3527	4891
419	3534	4881
420	3542	4871
421	3549	4862
422	3558	4854
423	3566	4844
424	3577	4839
425	3595	4845
426	3608	4841
427	3621	4839
428	3630	4831
429	3640	4825
430	3651	4820
431	3663	4816
432	3674	4811
433	3685	4805
434	3692	4796
435	3700	4786
436	3707	4776
437	3715	4767
438	3723	4758
439	3730	4748
440	3738	4739
441	3746	4729
442	3755	4721
443	3762	4712
444	3771	4703
445	3779	4694
446	3786	4685
447	3794	4675
448	3802	4665
449	3809	4656
450	3817	4647
451	3825	4637
452	3833	4628
453	3840	4618
454	3848	4609
455	3856	4600
456	3864	4591
457	3872	4582
458	3880	4573
459	3887	4563
460	3894	4553
461	3902	4544
462	3910	4535
463	3918	4526
464	3926	4517
465	3934	4508
466	3945	4502
467	3955	4496
468	3963	4487
469	3971	4477
470	3978	4468
471	3986	4459
472	3994	4450
473	4001	4440
474	4009	4431
475	4017	4422
476	4024	4412
477	4032	4404
478	4040	4394
479	4048	4385
480	4056	4376
481	4063	4367
482	4071	4357
483	4078	4348
484	4086	4339
485	4094	4330
486	4102	4321
487	4109	4311
488	4117	4302
489	4125	4293
490	4133	4285
491	4141	4275
492	4149	4267
493	4156	4257
494	4164	4249
495	4172	4239
496	4180	4230
497	4187	4221
498	4195	4212
499	4203	4203
500	4211	4194
501	4218	4184
502	4226	4175
503	4233	4166
504	4242	4158
505	4250	4149
506	4258	4140
507	4266	4131
508	4274	4123
509	4281	4113
510	4289	4104
511	4297	4095
512	4305	4086
513	4312	4078
514	4320	4068
515	4328	4059
516	4335	4050
517	4343	4041
518	4350	4032
519	4358	4023
520	4365	4013
521	4373	4005
522	4381	3996
523	4389	3987
524	4396	3977
525	4403	3968
526	4411	3959
527	4418	3949
528	4426	3941
529	4434	3932
530	4442	3924
531	4450	3914
532	4458	3906
533	4465	3897
534	4474	3888
535	4481	3879
536	4489	3870
537	4496	3861
538	4504	3852
539	4512	3843
540	4520	3835
541	4527	3825
542	4534	3816
543	4543	3808
544	4550	3799
545	4558	3790
546	4566	3781
547	4574	3772
548	4581	3764
549	4589	3754
550	4596	3745
551	4604	3737
552	4612	3728
553	4621	3720
554	4631	3713
555	4643	3707
556	4660	3706
557	4674	3702
558	4689	3699
559	4698	3691
560	4708	3684
561	4719	3678
562	4729	3671
563	4739	3663
564	4750	3657
565	4758	3648
566	4765	3639
567	4773	3630
568	4781	3621
569	4789	3613
570	4796	3603
571	4804	3595
572	4812	3585
573	4819	3577
574	4827	3568
575	4835	3559
576	4842	3550
577	4850	3541
578	4858	3532
579	4866	3523
580	4873	3514
581	4881	3506
582	4889	3497
583	4896	3487
584	4904	3479
585	4912	3470
586	4920	3461
587	4927	3452
588	4935	3444
589	4943	3435
590	4951	3426
591	4958	3417
592	4966	3408
593	4974	3400
594	4982	3391
595	4989	3382
596	4997	3373
597	5005	3364
598	5013	3355
599	5020	3347
600	5028	3338
601	5036	3329
602	5043	3320
603	5051	3312
604	5059	3303
605	5067	3294
606	5074	3285
607	5082	3277
608	5090	3268
609	5098	3259
610	5105	3250
611	5113	3242
612	5121	3233
613	5129	3224
614	5137	3215
615	5145	3207
616	5152	3198
617	5161	3190
618	5168	3181
619	5176	3172
620	5184	3163
621	5191	3155
622	5199	3146
623	5206	3137
624	5216	3129
625	5224	3121
626	5232	3112
627	5239	3103
628	5247	3095
629	5255	3086
630	5263	3077
631	5270	3068
632	5278	3060
633	5286	3051
634	5293	3042
635	5301	3034
636	5309	3025
637	5316	3016
638	5324	3008
639	5331	2999
640	5339	2990
641	5347	2982
642	5355	2973
643	5364	2965
644	5371	2956
645	5379	2948
646	5387	2939
647	5395	2930
648	5402	2922
649	5410	2913
650	5417	2904
651	5426	2896
652	5433	2887
653	5441	2878
654	5449	2870
655	5457	2861
656	5464	2852
657	5472	2844
658	5479	2835
659	5486	2826
660	5495	2818
661	5503	2809
662	5511	2801
663	5521	2794
664	5533	2787
665	5548	2782
666	5562	2777
667	5571	2769
668	5579	2760
669	5590	2753
670	5602	2746
671	5611	2738
672	5618	2729
673	5626	2721
674	5633	2712
675	5641	2704
676	5648	2695
677	5656	2686
678	5664	2678
679	5676	2671
680	5689	2665
681	5699	2657
682	5709	2650
683	5720	2642
684	5730	2635
685	5747	2630
686	5759	2623
687	5771	2617
688	5779	2608
689	5789	2600
690	5799	2593
691	5806	2584
692	5814	2575
693	5822	2567
694	5834	2560
695	5844	2552
696	5852	2544
697	5860	2535
698	5868	2526
699	5875	2518
700	5884	2509
701	5892	2501
702	5899	2492
703	5907	2483
704	5915	2475
705	5923	2466
706	5930	2457
707	5938	2449
708	5946	2440
709	5954	2432
710	5962	2423
711	5970	2415
712	5978	2406
713	5985	2397
714	5993	2389
715	6001	2380
716	6009	2371
717	6018	2363
718	6025	2355
719	6033	2346
720	6041	2337
721	6048	2329
722	6056	2320
723	6063	2311
724	6071	2302
725	6079	2294
726	6086	2285
727	6094	2277
728	6103	2268
729	6111	2260
730	6119	2252
731	6127	2243
732	6134	2234
733	6142	2226
734	6150	2217
735	6158	2208
736	6165	2200
737	6173	2191
738	6181	2183
739	6188	2174
740	6196	2165
741	6205	2157
742	6215	2149
743	6223	2141
744	6231	2132
745	6239	2124
746	6247	2116
747	6255	2107
748	6262	2098
749	6270	2090
750	6278	2081
751	6285	2072
752	6293	2064
753	6302	2056
754	6310	2047
755	6318	2039
756	6328	2031
757	6340	2024
758	6352	2016
759	6362	2009
760	6369	2000
761	6377	1991
762	6385	1983
763	6393	1974
764	6400	1966
765	6408	1957
766	6415	1949
767	6423	1940
768	6431	1932
769	6439	1923
770	6447	1914
771	6454	1906
772	6462	1897
773	6469	1889
774	6477	1880
775	6485	1872
776	6494	1863
777	6501	1855
778	6509	1846
779	6517	1838
780	6525	1829
781	6533	1821
782	6544	1813
783	6558	1806
784	6567	1798
785	6583	1792
786	6593	1784
787	6602	1776
788	6610	1767
789	6620	1759
790	6629	1751
791	6638	1743
792	6646	1735
793	6655	1726
794	6662	1718
795	6670	1709
796	6678	1700
797	6685	1692
798	6693	1683
799	6701	1675
800	6709	1666
801	6717	1658
802	6734	1652
803	6746	1644
804	6754	1636
805	6765	1628
806	6780	1621
807	6790	1613
808	6800	1605
809	6810	1597
810	6822	1589
811	6835	1582
812	6843	1573
813	6850	1565
814	6859	1557
815	6871	1549
816	6879	1541
817	6887	1532
818	6895	1523
819	6904	1515
820	6915	1507
821	6924	1499
822	6934	1491
823	6941	1482
824	6949	1474
825	6958	1465
826	6966	1457
827	6976	1449
828	6984	1440
829	6991	1432
830	6999	1423
831	7007	1414
832	7014	1406
833	7022	1397
834	7029	1389
835	7037	1380
836	7045	1372
837	7053	1363
838	7060	1354
839	7068	1346
840	7075	1337
841	7083	1329
842	7091	1320
843	7099	1312
844	7106	1303
845	7115	1295
846	7122	1286
847	7131	1278
848	7138	1269
849	7146	1261
850	7154	1252
851	7161	1244
852	7169	1235
853	7177	1227
854	7187	1218
855	7195	1210
856	7202	1201
857	7210	1193
858	7218	1184
859	7226	1176
860	7236	1168
861	7243	1159
862	7251	1151
863	7258	1142
864	7266	1134
865	7279	1126
866	7293	1118
867	7303	1110
868	7312	1102
